keyword,ages
세계사,"10,20,30"
지리,"10,20"
문학,"20,30,40"
예술사,"40,50,60"
사회학,"10,20,30"
심리학,"20,30"
경제학,"20,30"
철학,"20,30"
음악이론,"10,20,30"
환경학,"30,40"
식물학,"40,50,60"
화학,"10,20,30"
천문학,"20,30"
로봇공학,"10,20,30"
유전학,"30,40"
언어학,"20,30"
고고학,"30,40,50,60"
미생물학,"20,30"
기상학,"20,30"
자동차,"20,30"
전자기기,"10,20,30,40,50"
물리학,"10,20,30"
영어,"10,20,30,40"
과학,"10,20,30"
한국사,"20,30,40,50"
수학,"10,20"
축구,"10,20,30"
수영,"20,30"
골프,"40,50,60"
야구,10
농구,"20,30,"
운영체제,"10,20"
자료구조,"10,20"
알고리즘,"10,20"
데이터통신,"10,20"
암호이론및보안,"10,20"
